ResponsibleDepartment,Reason,Notes
Data Entry Misc,Procedure,DIDN'T CHANGE THE TICKLER DATE ON THE FLOWSHEET
Data Entry Misc,Procedure,DIDN'T CHANGE THE TICKLER DATE ON THE FLOWSHEET
Data Entry Misc,Procedure,DIDN'T CHANGE THE TICKLER DATE ON THE FLOWSHEET
Data Entry,EMAR,"STOP DATE
"
Data Entry,Quantity,"
"
Data Entry,Other,CHANGED PT'S NAME IN QS1
Data Entry,Procedure,1/2 WORKED ER DOC
Billing,Charge Account/Matrix,NO PER DIEM TABLE
Data Entry,Procedure,MED SHOULD BE TICKLERED
Pharmacist,Procedure,DOC DIDNT GO TO ER
Data Entry,Quantity,ONLY SEND #30 FOR ASVH ON CONTROLS
Data Entry,Billing Error,2 PATIENTS STAPLED TOGETHER AND PLACED IN ADMITS
Pharmacist,Procedure,DC'D BYPASSES ER
Data Entry,SIG/MULTI-SIG/DIRECTIONS,"
"
Data Entry,Quantity,"
"
Data Entry Misc,Procedure,MED WAS NOT RFCF COMPLETELY AND THIS ENDED UP ON FILL LIST AND WENT OUT UNPAID. HAD TO COMP MED
Data Entry,SIG/MULTI-SIG/DIRECTIONS,DISSOLVE BY MOUTH
Fulfillment CF,Other,SHOULD BE 1/2 TABS
Fulfillment CF,Other,MISSED 1/2 TABS
Fulfillment CF,Label Issue,QTY
Fulfillment FLOAT,Label Issue,QTY DATE
Data Entry,Date Written,"
"
Data Entry,Procedure,1/2 WORKED REJECTION
Data Entry,Procedure,"DOC COMPLETED WITH A REJ. MED MISSED RUN "
Fulfillment SYNMED,Packaging,TWO PATIENTS MIXED IN ONE BIN
Fulfillment SYNMED,Patient (FF),TWO PATIENTS MIXED IN ONE BIN
Data Entry,HOA/FREQUENCY/FILL LIST,"DIDN'T USE ""W/B"" PAIN HOA FOR NARC"
Data Entry,Triage,HOA
Data Entry,HOA/FREQUENCY/FILL LIST,"DIDN'T USE ""WB"" HOA FOR NARC "
Data Entry,Triage,STAPLED 2 PT TOGETHER
Data Entry,Procedure,DOCUMENT COMPLETED IN ERROR
Data Entry,Procedure,DOCUMENT COMPLETED WITH REJ IN QS1
Data Entry,Billing Error,"REJECTION STILL IN QS1, DOC COMPLETED"
Data Entry Misc,Procedure,DOC DIDNT MAKE IT TO ER
Data Entry,EMAR,STOP DATE
Data Entry Misc,Triage - Doc Type,"
"
Data Entry,Procedure,ORDER NOT SET TO PO
Billing,Billing Error,"MISSING REQUIRED BILLING ADDRESS TO PROCESS CARD. "
Data Entry,Missing Med Form,"MED NOT COVERED, MISSING MED FORM NEVER FAXED TO FACILITY. THEY CALLED 01/13/20 WONDERING WHY MED NOT SENT"
Data Entry,Date Written,"
"
Pharmacist,Procedure,DOCUMENT NEVER WENT TO ER
Data Entry,Procedure,"COMPLETED DOCUMENT WITH REJECTIONS "
Data Entry,Procedure,DOC COMPLETED BUT REJ STILL THERE
Fulfillment DLY,Label Issue,"
"
Data Entry,EMAR,STOP DATE
Data Entry,EMAR,START DATE
Data Entry,Procedure,START/STOP DATES
Data Entry,Drug,NOT ODT
Data Entry,SIG/MULTI-SIG/DIRECTIONS,CHEW ASA
Billing,Front Screen,INPUTTED INCORRECT ADDRESS FOR POA
Billing,New Admit Process,THE INSURANCE SCREEN AND BILLING MATRIX SCREENS WERE BOTH LEFT BLANK
Billing,Billing Error,"THE BELLA VITA PRICE PLAN WAS BILLED, BUT THE CHARGE ACCOUNT WAS LEFT AS THE PATIENT'S. IF WE ARE BILLING BELLA VITA, WE NEED TO MAKE SURE THAT WE ARE BILLING THE BILLING VITA CHARGE ACCOUNT AS WELL."
Billing,Charge Account/Matrix,THE UHC INS SCREEN AND BILLING MATRIX WAS NOT SET UP CORRECTLY
Billing,Charge Account/Matrix,"THE UHC INS SCREEN WAS NOT SET UP CORRECTLY, AND THE BILLING MATRIX SCREEN WAS INCORRECT AS WELL."
Billing,Charge Account/Matrix,PT.'S BILLING MATRIX SCREEN SHOULD JUST READ MERCYCARED. IT WAS NOT ENTERED IN AS SUCH.
Billing,Procedure,AHCCCS PATIENT. OTC NOT COVERED. WAS BILLED AS EXT. ACCOUNT IS 180+ DAYS PAST DUE.
Data Entry,HOA/FREQUENCY/FILL LIST,"USED HOA (FYI) FOR A BLOOD SUGAR CHK  "
Data Entry,HOA/FREQUENCY/FILL LIST,"DIDN'T USE FAC HOA FOR PAIN ON NARC (W/B +/-) "
Pharmacist,Procedure,DOCUMENT NEVER MADE IT TO ER. MEDS MISSED RUN
Data Entry,Billing Error,FACILITY'S DO NOT RECEIVE P5 PRICING. I CHANGED TO EXTENDED CARE PRICING.
Data Entry,Billing Error,FACILITY'S DO NOT RECEIVE P5 PRICING.
Data Entry,Billing Error,WE HAVE A DOCUMENT ON FILE THAT WE ARE TO BILL THE FAC ACCOUNT FOR THIS. I FOUND AS P5 TO THE PATIENT'S ACCOUNT.
Billing,Charge Account/Matrix,THE BILLING MATRIX WAS NOT SET UP CORRECTLY.
Data Entry,HOA/FREQUENCY/FILL LIST,"FAC GUIDELINES FOR CREAMS NEED TO USE: FREQ=T FOR TREATMENT SHEET "
Data Entry,HOA/FREQUENCY/FILL LIST,"FAC GUIDELINES FOR WOUND CARE:  USE FREQ=T FOR TREATMENT SHEET "
Data Entry,Billing Error,UHC WAS NOT ATTEMPTED.  UHC PAYS. WE DON'T CASH OUT OTC'S FOR AHCCCS PATIENTS.
Data Entry,Triage,HOA
Data Entry Misc,Strength,"
"
Medical Records,Missed Order,DUPLICATES WEREN'T DC'D
Billing,Charge Account/Matrix,THE INSURANCE PROFILE AND BILLING MATRIX FOR UHC WAS NOT SET UP CORRECTLY.
Data Entry,Procedure,"THE ""MISSING MED"" PRICE PLAN WAS LEFT IN THE PRIMARY INSURANCE FIELD"
Data Entry,Procedure,"THE ""MISSING MED"" PRICE PLAN WAS LEFT IN THE PATIENT'S PRIMARY INSURANCE FIELD"
Data Entry Misc,Procedure,"THE ""MISSING MED"" PRICE PLAN WAS LEFT IN THE PATIENT'S PRIMARY INSURANCE FIELD"
Billing,Procedure,"THE ""MISSING MED"" PRICE PLAN WAS LEFT IN THE PATIENT'S PRIMARY INSURANCE FIELD"
Data Entry,Procedure,"AFTER THE ""MISSING MED"" PRICE PLAN WAS BILLED, THE QTY AND DAYS SUPPLY WAS NOT CHANGED BACK TO 56 / 28.  WAS LEFT AS 1."
Data Entry,Quantity,"AFTER THE MISSING MED PRICE PLAN WAS BILLED FOR #1, THE QUANTITY WAS NOT CHANGED BACK TO THE 28 DAYS SUPPLY."
Data Entry Misc,Procedure,"AFTER THE ""MISSING MED"" PRICE PLAN WAS BILLED, THE QUANTITY AND DAYS SUPPLY WERE NOT CHANGED BACK TO A 28 DAYS SUPPLY."
Data Entry,Procedure,"AFTER THE ""MISSING MED"" PRICE PLAN WAS BILLED, THE QUANTITY WAS NOT CHANGED BACK TO A 28 DAYS SUPPLY."
Data Entry,Procedure,"AFTER THE ""MISSING MED"" PRICE PLAN WAS BILLED, THE QUANTITY AND DAYS SUPPLY WERE NOT CHANGED BACK TO A 28 DS."
Data Entry,Procedure,"AFTER THE ""MISSING MED"" PRICE PLAN WAS BILLED, THE QTY AND DAYS SUPPLY WAS NOT CHANGED BACK TO REFLECT A 28 DS."
Data Entry,Procedure,"AFTER THE ""MISSING MED"" PRICE PLAN WAS BILLED, THE QTY AND DAYS SUPPLY WAS NOT CHANGED BACK TO REFLECT A 28 DS."
Data Entry,Procedure,"THE ""MISSING MED"" PRICE PLAN WAS LEFT IN THE PRIMARY INSURANCE FILELD. ALSO, THE QTY AND DAYS SUPPLY WAS NOT CHANGED BACK TO REFLECT A 28 DS."
Data Entry,Procedure,"AFTER THE ""MISSING MED"" PRICE PLAN WAS BILLED, THE QTY AND DAYS SUPPLY WERE NOT CHANGED BACK TO REFLECT A 28 DS."
Data Entry,Procedure,"AFTER THE ""MISSING MED"" PRICE PLAN WAS BILLED, THE QTY AND DAYS SUPPLY WERE NOT CHANGED BACK TO REFLECT A 28 DS."
Data Entry,Procedure,"AFTER THE ""MISSING MED"" PRICE PLAN WAS BILLED, THE QTY AND DAYS SUPPLY WERE NOT CHANGED BACK TO REFLECT A 28 DS."
Data Entry,Procedure,"AFTER THE ""MISSING MED"" PRICE PLAN WAS BILLED, THE QTY AND DAYS SUPPLY WERE NOT CHANGED BACK TO REFLECT A 28 DS."
Data Entry,Procedure,"AFTER THE ""MISSING MED"" PRICE PLAN WAS BILLED, THE QTY AND DAYS SUPPLY WERE NOT CHANGED BACK TO REFLECT A 28 DS."
Data Entry,Procedure,"AFTER THE ""MISSING MED"" PRICE PLAN WAS BILLED, THE QTY AND DAYS SUPPLY WERE NOT CHANGED BACK TO REFLECT A 28 DS."
Data Entry,Procedure,"THE ""MISSING MED"" PRICE PLAN WAS LEFT IN THE PRIMARY INSURANCE FIELD. ALSO,  THE QTY AND DAYS SUPPLY WERE NOT CHANGED BACK TO REFLECT A 28 DS."
Data Entry,Procedure,"AFTER THE ""MISSING MED"" PRICE PLAN WAS BILLED, THE QTY AND DAYS SUPPLY WERE NOT CHANGED BACK TO REFLECT A 28 DS."
Data Entry,Procedure,"THE ""MISSING MED"" PRICE PLAN WAS LEFT IN THE PRIMARY INSURANCE FIELD. ALSO, THE QTY AND DAYS SUPPLY WERE NOT CHANGED BACK TO REFLECT A 28 DS."
Billing,Procedure,"THE ""MISSING MED"" PRICE PLAN WAS LEFT IN THE PRIMARY INSURANCE FIELD. ALSO, THE QTY AND DAYS SUPPLY WERE NOT CHANGED BACK TO REFLECT A 28 DS."
Billing,Procedure,"THE ""MISSING MED"" PRICE PLAN WAS LEFT IN THE PRIMARY INSURANCE FIELD. ALSO, THE QTY AND DAYS SUPPLY WERE NOT CHANGED BACK TO REFLECT A 28 DS."
Billing,Procedure,"THE ""MISSING MED"" PRICE PLAN WAS LEFT IN THE PRIMARY INSURANCE FIELD. ALSO, THE QTY AND DAYS SUPPLY WERE NOT CHANGED BACK TO REFLECT A 28 DS."
Data Entry,Procedure,"AFTER THE ""MISSING MED"" PRICE PLAN WAS BILLED, THE QTY AND DAYS SUPPLY WERE NOT CHANGED BACK TO REFLECT A 28 DS."
Data Entry,Procedure,"AFTER THE ""MISSING MED"" PRICE PLAN WAS BILLED, THE QTY AND DAYS SUPPLY WERE NOT CHANGED BACK TO REFLECT A 28 DS."
Data Entry,Procedure,"AFTER THE ""MISSING MED"" PRICE PLAN WAS BILLED, THE QTY AND DAYS SUPPLY WERE NOT CHANGED BACK TO REFLECT A 28 DS."
Data Entry,Procedure,"AFTER THE ""MISSING MED"" PRICE PLAN WAS BILLED, THE QTY AND DAYS SUPPLY WERE NOT CHANGED BACK TO REFLECT A 28 DS."
Data Entry,Procedure,"AFTER THE ""MISSING MED"" PRICE PLAN WAS BILLED, THE QTY AND DAYS SUPPLY WERE NOT CHANGED BACK TO REFLECT A 28 DS."
Data Entry,Procedure,"AFTER THE ""MISSING MED"" PRICE PLAN WAS BILLED, THE QTY AND DAYS SUPPLY WERE NOT CHANGED BACK TO REFLECT A 28 DS."
Data Entry,Procedure,"AFTER THE ""MISSING MED"" PRICE PLAN WAS BILLED, THE QTY AND DAYS SUPPLY WERE NOT CHANGED BACK TO REFLECT A 28 DS."
Data Entry,Procedure,"AFTER THE ""MISSING MED"" PRICE PLAN WAS BILLED, THE QTY AND DAYS SUPPLY WERE NOT CHANGED BACK TO REFLECT A 28 DS."
Data Entry,Procedure,"AFTER THE ""MISSING MED"" PRICE PLAN WAS BILLED, THE QTY AND DAYS SUPPLY WERE NOT CHANGED BACK TO REFLECT A 28 DS."
Data Entry,Procedure,"AFTER THE ""MISSING MED"" PRICE PLAN WAS BILLED, THE QTY AND DAYS SUPPLY WERE NOT CHANGED BACK TO REFLECT A 28 DS."
Data Entry Misc,Procedure,"AFTER THE ""MISSING MED"" PRICE PLAN WAS BILLED, THE QTY AND DAYS SUPPLY WERE NOT CHANGED BACK TO REFLECT A 28 DS."
Data Entry,Procedure,"THE ""MISSING MED"" PRICE PLAN WAS LEFT IN THE PRIMARY INSURANCE FIELD. ALSO, THE QTY AND DAYS SUPPLY WERE NOT CHANGED BACK TO REFLECT A 28 DS."
Data Entry,Procedure,"AFTER THE ""MISSING MED"" PRICE PLAN WAS BILLED, THE QTY AND DAYS SUPPLY WERE NOT CHANGED BACK TO REFLECT A 28 DS."
Data Entry Misc,Procedure,"AFTER THE ""MISSING MED"" PRICE PLAN WAS BILLED, THE QTY AND DAYS SUPPLY WERE NOT CHANGED BACK TO REFLECT A 28 DS."
Data Entry Misc,Procedure,"AFTER THE ""MISSING MED"" PRICE PLAN WAS BILLED, THE QTY AND DAYS SUPPLY WERE NOT CHANGED BACK TO REFLECT A 28 DS."
Data Entry,Procedure,"AFTER THE ""MISSING MED"" PRICE PLAN WAS BILLED, THE QTY AND DAYS SUPPLY WERE NOT CHANGED BACK TO REFLECT A 28 DS."
Data Entry,Procedure,"AFTER THE ""MISSING MED"" PRICE PLAN WAS BILLED, THE QTY AND DAYS SUPPLY WERE NOT CHANGED BACK TO REFLECT A 28 DS."
Data Entry,Procedure,"AFTER THE ""MISSING MED"" PRICE PLAN WAS BILLED, THE QTY AND DAYS SUPPLY WERE NOT CHANGED BACK TO REFLECT A 28 DS."
Data Entry,Procedure,"AFTER THE ""MISSING MED"" PRICE PLAN WAS BILLED, THE QTY AND DAYS SUPPLY WERE NOT CHANGED BACK TO REFLECT A 28 DS."
Data Entry,Procedure,"AFTER THE ""MISSING MED"" PRICE PLAN WAS BILLED, THE QTY AND DAYS SUPPLY WERE NOT CHANGED BACK TO REFLECT A 28 DS."
Data Entry,Procedure,"AFTER THE ""MISSING MED"" PRICE PLAN WAS BILLED, THE QTY AND DAYS SUPPLY WERE NOT CHANGED BACK TO REFLECT A 28 DS."
Data Entry,Procedure,"AFTER THE ""MISSING MED"" PRICE PLAN WAS BILLED, THE QTY AND DAYS SUPPLY WERE NOT CHANGED BACK TO REFLECT A 28 DS."
Data Entry,Procedure,"AFTER THE ""MISSING MED"" PRICE PLAN WAS BILLED, THE QTY AND DAYS SUPPLY WERE NOT CHANGED BACK TO REFLECT A 28 DS."
Data Entry,Procedure,"AFTER THE ""MISSING MED"" PRICE PLAN WAS BILLED, THE QTY AND DAYS SUPPLY WERE NOT CHANGED BACK TO REFLECT A 28 DS."
Data Entry,Procedure,"THE ""MISSING MED"" PRICE PLAN WAS LEFT IN THE PRIMARY INSURANCE FIELD"
Pharmacist,Other,description missing
Data Entry,Strength,FLUOXETINE 40 MG ENTERED
Data Entry,Procedure,DID NOT VOID REJECTED BILLING BEFORE SEND BACK TO REPROCESS AS MED THAT WOULD BE COVERED
Fulfillment DLY,Packaging,ALF LIKE SNF
Data Entry,New Admit Process,"TECH LOADED UP WRONG PLAN ""UHC CRS BH"" WHICH IS A CHILDS PLAN. THIS PATIENT IS ELDERLY "
Data Entry,Charge Account/Matrix,"NO MATRIX LOADED UP "
Data Entry,New Admit Process,"NO MATRIX LOADED UP "
Data Entry Misc,Procedure,REFILL REQ DOC MADE AND LEFT IN TRIAGE INSTEAD OF MOVING TO REFILL QUEUE
Data Entry Misc,Procedure,REFILL REQ DOC LEFT IN TRIAGE INSTEAD OF BEING MOVED TO REFILL QUEUE
Data Entry Misc,Procedure,REFILL REQ DOC LEFT IN TRIAGE INSTEAD OF MOVED TO REFILL QUEUE
Data Entry Misc,Procedure,REFILL REQ DOC LEFT IN TRIAGE INSTEAD OF MOVED TO REFILL QUEUE
Data Entry Misc,Procedure,REFILL REQ DOC LEFT IN TRIAGE INSTEAD OF MOVED TO REFILL QUEUE
Data Entry Misc,Refill Request,REFILL REQ DOC LEFT IN TRIAGE INSTEAD OF MOVED TO REFILL QUEUE
Data Entry Misc,Refill Request,REFILL REQ LEFT IN TRIAGE
Fulfillment DLY,Label Issue,WRONG DIRECTIONS ON A SPLIT SIG NOVOLOG
Fulfillment DLY,Label Not Scanned,","
Fulfillment DLY,Label Not Scanned,","
Fulfillment DLY,Label Not Scanned,","
Fulfillment DLY,Label Not Scanned,","
Fulfillment DLY,Label Not Scanned,","
Fulfillment DLY,Label Issue,DUPE
Fulfillment DLY,Label Issue,DUPE
Fulfillment DLY,Label Issue,DUPE
Fulfillment DLY,Label Issue,DUPE
Fulfillment DLY,Label Issue,DUPE
Fulfillment DLY,Label Issue,DUPE
Fulfillment DLY,Label Issue,DUPE
Fulfillment DLY,Label Issue,"DUPE
"
Fulfillment DLY,Label Issue,DUPE
Fulfillment DLY,Label Issue,DUPE
Billing,Charge Account/Matrix,THE INSURANCE PROFILE AND BILLING MATRIX FOR UHC PLAN AHCCCS WAS NOT SET UP CORRECTLY
Billing,Charge Account/Matrix,THE INSURANCE PROFILE AND BILLING MATRIX FOR UHC PLAN AHCCCS WAS NOT SET UP CORRECTLY.
Data Entry,Procedure,"COMP PHARM ERROR WAS LEFT IN THE PT.'S PRIMARY INSURANCE FIELD.  WAS NOT CHANGED BACK TO PT.'S INS. PLAN AFTER BILLING AS COMP.
"
Billing,Charge Account/Matrix,UHC PLAN AHCCCS WAS NOT SET UP CORRECTLY IN THE INSURANCE SCREEN AND THE BILLING MATRIX SCREEN
Billing,Procedure,COMP CUST SERV WAS LEFT IN THE PRIMARY INSURANCE PROFILE
Billing,Charge Account/Matrix,THE INSURANCE SCREEN AND BILLING MATRIX SCREENS WERE BOTH SET UP INCORRECTLY FOR HIS UHC PLAN AHCCCS.
Data Entry,Document Error,"MOVED TO COMPLETE
"
Billing,Charge Account/Matrix,THE INSURANCE SCREEN AND BILLING MATRIX SCREENS FOR UHC PLAN AHCCCS WERE NOT SET UP CORRECTLY
Billing,Charge Account/Matrix,THE INSURANCE SCREEN AND BILLING MATRIX SCREENS WERE NOT SET UP CORRECTLY FOR UHC PLAN AHCCCS
Billing,Charge Account/Matrix,THE BILLING MATRIX WAS NOT SET UP CORRECT FOR UNIVERSITY FAMILY CARE.
Billing,Charge Account/Matrix,THE INSURANCE PROFILE AND BILLING MATRIX SCREENS WERE NOT SET UP CORRECTLY FOR UHC PLAN AHCCCS.
Data Entry,Billing Error,"DID NOT D/C THE MEDICATION FOR INCREASE.
DID NOT REVERSE CF BILLING FOR INCREASE."
Data Entry,Triage - Missed D/C,"DID NOT D/C THE MEDICATION FOR INCREASE.
DID NOT REVERSE CF BILLING FOR INCREASE."
Fulfillment CF,Patient (FF),"vial for a different pt in the wrong bin
"
Data Entry Misc,SIG/MULTI-SIG/DIRECTIONS,CHEW ASA
Data Entry,Procedure,SAFETY PRODUCTS FOR BRKDL
Data Entry Misc,Procedure,"TECH NOTED THAT PA WAS REQD,SENT MMF BUT DID NOT START PA"
Data Entry,Quantity,"
"
Data Entry Misc,Other,OTHER = PROTOCOL.  DAILY MED WAS CASHED OUT FOR AN AHCCCS PATIENT WHOSE ACCOUNT IS 151+ DAYS PAST DUE.
Billing,Billing Error,OTC WAS CASHED OUT FOR AN AHCCCS PATIENT.  WHO KNOWS IF THEY ARE GOING TO PAY NOW. THEY HAVEN'T PAID FOR LAST MONTHS AS OF YET.
Data Entry,Billing Error,OTC WAS CASHED OUT. PATIENT'S AHCCCS PLAN MERCY CARE RBHA PAYS.
Data Entry Phone Team,Refill Request,LEFT IN TRIAGE
Data Entry,Procedure,OTC WAS PLACED ON CYCLE FILL FOR AN AHCCCS PATIENT
Billing,Charge Account/Matrix,PT.'S BILLING MATRIX WAS NOT SET UP CORRECTLY.
Billing,Billing Error,PT.'S SECONDARY AHCCCS PLAN WASN'T EVEN ATTEMPTED.  MERCY CARE RBHA PAYS FOR THIS.
Billing,Charge Account/Matrix,THE INSURANCE PROFILE AND BILLING MATRIX SCREENS WERE NOT SET UP CORRECTLY
Data Entry,HOA/FREQUENCY/FILL LIST,"USED HOA NOT DEFINED FOR HOME "
Billing,Charge Account/Matrix,THE INSURANCE PROFILE AND BILLING MATRIX FOR UHC PLAN AHCCCS WAS NOT SET UP CORRECTLY
Billing,Billing Error,ABN PRICING IS FOR PT.'S THAT HAVE A D PLAN WHOSE DIABETIC SUPPLIES ARE COVERED UNDER THE B BENEFIT. WE DO NOT HAVE AN ABN FORM ON FILE. NO INS PT.
Fulfillment CF,Extra/Missing Pill(s),DRUG IN WRONG CASSETTE
Data Entry,Document Not Associated,VOICEMAIL NOT ASSOCIATED TO PT OR MED
Billing,Charge Account/Matrix,"NO MATRIX INPUTTED "
Data Entry,Triage - Doc Type,MD MARKED UD
Data Entry,Triage - Doc Type,MD MARKED UD
Data Entry,Billing Error,OTC'S GET P5 PRICING FOR FVHC
Data Entry,Billing Error,"OTC'S GET P5 PRICING FOR BT PATIENT'S, NOT EXTENDED CARE."
Data Entry,Billing Error,OTC'S FOR FVHC GET P5 PRICING. NOT EXTENDED CARE.
Data Entry,Billing Error,"OTC'S FOR BGMC GET P5 PRICING, AND NOT EXTENDED CARE."
Data Entry,Billing Error,OTC'S FOR BGAL GET P5 PRICING INSTEAD OF EXTENDED CARE PRICING.
Billing,Charge Account/Matrix,THE BILLING MATRIX FOR UNIVERSITY FAMILY CARE WAS NOT SET UP CORRECTLY
Billing,Charge Account/Matrix,THE INSURANCE PROFILE AND BILLING MATRIX SCREENS WERE NOT SET UP CORRECTLY FOR UNIVERSITY FAMILY CARE
Billing,Charge Account/Matrix,THE INSURANCE PROFILE AND BILLING MATRIX SCREENS WERE NOT SET UP CORRECTLY FOR UHC PLAN AHCCCS.
Billing,Charge Account/Matrix,THE INSURANCE PROFILE AND BILLING MATRIX SCREENS WERE BOTH SET UP INCORRECTLY FOR UHC PLAN AHCCCS
Data Entry,Procedure,"AFTER THE MISSING MED PRICE PLAN AND THE 2 TABLETS WERE BILLED, THE PACIFIC CARE PRICE PLAN AND QTY OF 28 WERE NOT PUT BACK AND SAVED."
Data Entry Misc,Procedure,"AFTER A QTY OF 1 WAS BILLED TO THE MISSING MED PRICE PLAN, THE QTY WAS NOT SWITCHED BACK TO A 28 DAYS SUPPLY. IF NOT CAUGHT AND CHANGED, CYCLE FILL WOULD BILL FOR A QTY OF 1 EACH TIME."
Data Entry,Procedure,"AFTER THE 2 DAYS SUPPLY WAS BILLED TO THE MISSING MED PRICE PLAN, THE DAYS SUPPLY WAS NOT CHANGED BACK TO 28. WE WOULDN'T WANT CYCLE FILL TO BILL FOR A 2 DAYS SUPPLY EACH MONTH."
Data Entry,Procedure,"AFTER A 2 DAY SUPPLY WAS BILLED TO THE MISSING MED PRICE PLAN, THE DAYS SUPPLY WAS NOT CHANGED BACK TO 28. WE DON'T WANT CYCLE FILL TO BILL FOR A 2 DAYS SUPPLY EACH MONTH."
Data Entry,Procedure,"AFTER A 2 DAY SUPPLY WAS BILLED TO THE MISSING MED PRICE PLAN, THE DAYS SUPPLY WAS NOT CHANGED BACK TO 28. WE DON'T WANT CYCLE FILL TO BILL FOR A 2 DAYS SUPPLY EACH MONTH."
Data Entry,Procedure,"AFTER A 1 DAY SUPPLY WAS BILLED TO THE MISSING MED PRICE PLAN, THE DAYS SUPPLY WAS NOT CHANGED BACK TO 28. WE DON'T WANT CYCLE FILL TO BILL FOR A 1 DAY SUPPLY EACH MONTH."
Data Entry,Procedure,"AFTER A 1 DAY SUPPLY WAS BILLED TO THE MISSING MED PRICE PLAN, THE DAYS SUPPLY WAS NOT CHANGED BACK TO 28. WE DON'T WANT CYCLE FILL TO BILL FOR A 1 DAY SUPPLY EACH MONTH."
Data Entry,Procedure,"AFTER A 1 DAY SUPPLY WAS BILLED TO THE MISSING MED PRICE PLAN, THE DAYS SUPPLY WAS NOT CHANGED BACK TO 28. WE DON'T WANT CYCLE FILL TO BILL FOR A 1 DAY SUPPLY EACH MONTH."
Billing,Charge Account/Matrix,THE INSURANCE PROFILE AND BILLING MATRIX SCREENS WERE NOT SET UP CORRECTLY FOR UHC PLAN AHCCCS.
Data Entry,Procedure,"AFTER A 2 DAY SUPPLY WAS BILLED TO THE MISSING MED PRICE PLAN, THE DAYS SUPPLY WAS NOT CHANGED BACK TO 28. WE DON'T WANT CYCLE FILL TO BILL FOR A 2 DAYS SUPPLY EACH MONTH."
Data Entry Misc,Procedure,"AFTER A 2 DAY SUPPLY WAS BILLED TO THE MISSING MED PRICE PLAN, THE DAYS SUPPLY WAS NOT CHANGED BACK TO 28. WE DON'T WANT CYCLE FILL TO BILL FOR A 2 DAYS SUPPLY EACH MONTH."
